Word Id,Word,Meaning,P of speech,Pronunciation
44,,"a - do not touch this record",,
45,"সীমিত","limited; bounded","adj.",
46,"অন্ধকার","absence of light; darkness; gloom","noun",
51,"খদমতকারী","one who waits","noun",
52,"প্রমাণ","evidence; proof; testimony; witness","noun",
53,"ভাগী","partaking, participating in","adj.",
54,"বিচারবুদ্ধি","judgement plan (?)",,
55,"মিলিত","to meet, assemble","noun",
56,"দরুন","because of, on account of, owing to, for, due to","prep.",
57,"অবশ্য","surely; certainly; inevitably","adv.",
58,"দলাদলি","petal, leaf, group, company","noun",
62,"টানা","to pull towards, draw","verb",
63,"উপ্‌চানো","flow over the edges; go beyond the limit of","verb",
64,"কষ্টভোগ","suffer",,
66,"অনুপসিতি","absense; want; inexistence","noun",
67,"সন্তুষ্ট","enough; satisfied","adj.",
68,"আপত্তি","objection; dissent; protest","noun",
69,"তর্ক","altercation, heated dispute","noun",
70,"নির্দোষ","faultless, guiltless","adj.",
71,"বিবেকহীন","without conscience",,
72,"স্বভাব","nature; inherent disposition; state of being; conduct; behaviour","noun",
73,"গর্ব ক","to boast, brag","verb",
74,"শীঘ্র","quick; swift; rapid; promptly","adj.",
75,"ইপাফ্রদঢু","Epaphroditus","noun",
76,"সেবাকারী","fellow worker; attendent, servant","noun",
77,"মিটা","to be accomplished, satisfied, fulfilled","verb",
78,"চিন্তত","distressed, worried",,
79,"ভাবনা","thought; recollection; contemplation","noun",
80,"মুখামুখি","face-to-face; head-on","adj.",
85,"বড়","circumference; girth","noun",
86,"কড়া","pole, small coin (noun); harsh; rough; rude (adj)",,
87,"সতর্ক","cautious; careful; alert","adj.",
88,"কাটা ছেঁড়া","to cut, tear","verb",
89,"গর্ব","inordinate self-esteem; pride; conceit","noun",
90,"বাধ ক","to feel, perceive, have a notion","verb",
91,"বাহ্যিক","external; outward; material; superficial","adj.",
92,"আচার অনুস্টান","religious rites; custom","noun",
93,"গোঁড়া","having blind faith in your religion; orthodox; fanatic","adj.",
106,"ছুট","the act of running","noun",
107,"ঝোঁকা / ঝুঁকা","to stoop, to be attracted to, biased towards","verb",
109,"বেহেশতমুখী","?",,
110,"জাগতিক","worldly",,
112,"বদল","exchange; change; substitution, in exchange of, in lieu of","noun",
114,"মালা","wreath; crown","noun",
116,"উবদিয়া","Euodia","noun",
118,"সুন্তখী","Synthche","noun",
120,"উতলা","troubled with anxiety; worry; overwhelmed with emotion; excited","adj.",
121,"মোট কথা","proud talk",,
123,"ম্যাসিডোনিয়া","Macedonia","name",
125,"ফিলিপী","Philippi","name",
126,"থিষলনীকী","Thesslonia","name",
127,"পূরণ ক","to fill; stuff; satisfy","verb",
129,"পাওনা","due; arrears; money due; outstanding bills","noun",
130,"যুগ","pair; couple; team; age, time period","noun",
132,"সম্রাট","emporer; ruler","noun",
133,"সিজার","Caesar","name",
